LuasPanen,Id,Produksi;;;
13,1,117;;;
28,2,732;;;
1633,3,12608;;;
2215,4,23635;;;
90,5,1621;;;
300,6,1851;;;
6980,7,109334;;;
33,8,1305;;;
424,9,4776;;;
201,10,4776;;;
813,11,1321;;;
708,12,73816;;;
241,13,11124;;;
965,14,46765;;;
1871,15,11660;;;
51,16,1571;;;
251,17,2897;;;
0,18,0;;;
35,19,454;;;
115,20,897;;;
0,21,0;;;
0,22,0;;;
162,23,1141;;;
412,24,2614;;;
120,1,247;;;
24,2,97;;;
319,3,189;;;
56,4,532;;;
